Location,Lat,Lon
Lowville,43.7867,-75.4919
Malon,44.8487,-74.2949
Stillwater,43.89131,-75.03612
Long Lake,43.9727,-74.4204
Phonecia,42.0848,-74.3154
Harrisville,44.152,-75.321
Chases Lake,43.2172,-74.3595
Alexandria Bay,44.3359,-75.9177
Webster,43.2123,-77.43
Tupper Lake,44.2239,-74.4641
Dannemora,44.7214,-73.7238
North Hudson,44.0131,-73.70516
Croghan,43.97496,-75.201
Cape Vincent,44.10452,-76.32686
Essex,44.313604,-73.371896
Edwards,44.32177,-75.24413
Gabriels,44.41742,-74.17867
Lake Placid,44.2416108,-73.9860269